country,iso3,avg_phase4_pct,latest_date,phase4_num_latest,phase4_pct_latest,phase5_num_latest,phase5_pct_latest,previous_date,phase5_num_previous,phase4pl_scale,phase4pl_prev,phase5_incr,inform_cc,inform_risk,inform_severity,avg_phase4_pct_norm,phase4pl_scale_norm,phase4pl_prev_norm,phase5_incr_norm,inform_cc_norm,inform_risk_norm,inform_severity_norm,cerf_score,cerf_rank
Yemen,YEM,0.1439557962385682,2022-10-01,6079500,0.19064748269120302,0,0,2020-10-01,16500,60.795,0.19064748269120302,0,8.1,8.1,4.6,84.37379210056558,94.41523664221245,100,0,89.8550724637681,90.47619047619047,100,84.15948845107837,1
Afghanistan,AFG,0.12560106940467203,2022-06-01,5975864,0.14321232311611418,0,0,2021-09-01,0,59.75864,0.14321232311611418,0,8,8.1,4.5,73.61592095948738,92.80575930614002,75.11891638667956,0,88.40579710144927,90.47619047619047,96.66666666666669,77.85025000190336,2
Ethiopia,ETH,0.06524638161439977,2021-07-01,2425979,0.12283997129793402,401313,0.020320570541413504,2021-05-01,352896,64.39109,0.1431605418393475,48417,6.8,7,4.3,38.24149344097495,100,75.09175564160404,15.035868451290332,71.01449275362319,73.01587301587301,90.00000000000001,75.20509249599068,3
Somalia,SOM,0.0432489001287326,2023-01-01,1936740,0.11422652657087572,322010,0.018991750994499876,2021-07-01,0,51.5684,0.1332182775653756,322010,8.8,8.7,4.4,25.348570904310417,80.08623553351869,69.8767566635815,100,100,100,93.33333333333334,74.98927179193387,4
South Sudan,SSD,0.15140260282663445,2022-12-01,1966000,0.15887889363397487,33000,0.0026668379908042577,2020-10-01,92000,22.96,0.16154573162477912,0,8.5,8.5,4.4,88.7384326867172,35.65710721778432,84.73530798538746,0,95.65217391304347,96.82539682539684,93.33333333333334,56.35730455240733,5
Haiti,HTI,0.13601833712809097,2023-03-01,1653839,0.16694050333524887,19206,0.0019386768041246998,2021-09-01,0,18.45899,0.16887918013937359,19206,5.5,6.5,4.2,79.72157564042199,28.666994144686782,88.58190926806616,5.964411043135306,52.17391304347826,65.07936507936508,86.66666666666669,48.9381084451713,6
Pakistan,PAK,0.08256227424287131,2022-09-01,2591242,0.13096403727805223,0,0,2021-10-01,0,25.91242,0.13096403727805223,0,6,6.1,3.8,48.39049447354987,40.24224469565587,68.69434383782465,0,59.420289855072454,58.73015873015874,73.33333333333333,45.24592495567955,7
Sudan,SDN,0.045137965072839556,2022-06-01,3103098,0.06480796417316692,0,0,2021-04-01,0,31.03098,0.06480796417316692,0,6.4,7.1,4.4,26.455768926364385,48.19141903017948,33.99361127581116,0,65.21739130434783,74.60317460317461,93.33333333333334,42.41124055594988,8
Congo - Kinshasa,COD,0.05754532489691524,2023-01-01,2813131,0.027319440696383524,0,0,2021-09-01,0,28.13131,0.027319440696383524,0,7.6,7.6,4.2,33.72783455808503,43.68820282433485,14.32981978609892,0,82.60869565217389,82.53968253968253,86.66666666666669,39.45909166550444,9
Central African Republic,CAF,0.10606820702798116,2023-04-01,806785,0.13245315252736906,0,0,2021-09-01,0,8.06785,0.13245315252736906,0,7.7,8.5,4.1,62.16753393817805,12.529450891419915,69.47542692808962,0,84.05797101449276,96.82539682539684,83.33333333333333,38.59553208974026,10
Central African Republic,CAF,0.10342127538502174,2023-06-01,806787,0.13245348087544823,0,0,2021-09-01,0,8.06787,0.13245348087544823,0,7.7,8.5,4.1,60.61614340036772,12.529481951617838,69.4755991559494,0,84.05797101449276,96.82539682539684,83.33333333333333,38.36286332033674,11
Angola,AGO,0.170616719546025,2021-10-01,416660,0.151505895734156,0,0,2021-06-01,0,4.1666,0.151505895734156,0,4.5,4.6,3.1,99.99999999999999,6.470771033694257,79.4691299331522,0,37.68115942028985,34.920634920634924,50.00000000000001,35.96230617218148,12
Kenya,KEN,0.03332122070562931,2022-10-01,1211812,0.08168838609332027,0,0,2021-07-01,0,12.11812,0.08168838609332027,0,4.6,6.7,3.8,19.529868347187797,18.819560283883995,42.84787028928843,0,39.130434782608695,68.25396825396828,73.33333333333333,26.86134974171475,13
Zimbabwe,ZWE,0.08371858402226294,2021-01-01,768594,0.0791865501738182,0,0,2020-10-01,0,7.68594,0.0791865501738182,0,4.4,4.5,3.9,49.06821807676316,11.936340881945002,41.53558654749134,0,36.23188405797102,33.333333333333336,76.66666666666667,26.273518293411975,14
Nigeria,NGA,0.004398027665800995,2023-06-01,1882636,0.009719496843877561,3967,2.04804561156072e-5,2021-09-01,0,19.22306,0.009739977299993168,3967,6.6,6.4,4.1,2.577723729247178,29.853602416110675,5.108893735444322,1.2319493183441508,68.1159420289855,63.4920634920635,83.33333333333333,25.45737558150706,15
South Africa,ZAF,0.028081452368482012,2021-01-01,2197177,0.036543787090327996,0,0,2020-09-01,0,21.97177,0.036543787090327996,0,3.7,5.3,NA,16.45879280952114,34.12237624801816,19.168250518953336,0,26.086956521739133,46.03174603174604,0,24.305060938553602,16
Lebanon,LBN,0.06152125279642058,2023-01-01,354000,0.06599552572706935,0,0,2022-09-01,0,3.54,0.06599552572706935,0,3.9,4.5,3.4,36.058161802732826,5.497655032707164,34.61652091885426,0,28.98550724637681,33.333333333333336,60,19.191089201941793,17
Burkina Faso,BFA,0.010342031755078772,2023-06-01,546456,0.024584594866791154,19867,8.937995853619319e-4,2021-09-01,0,7.4512599999999996,0.025478394452153087,19867,6.4,7,3.7,6.061558200507388,11.571880519494233,13.36413892934592,6.169684171299028,65.21739130434783,73.01587301587301,70.00000000000001,19.149832436391346,18
Guatemala,GTM,0.024136322687407646,2022-06-01,552453,0.031827205225336774,0,0,2021-05-01,0,5.52453,0.031827205225336774,0,5.1,5.1,3.5,14.14651667880457,8.57964976210218,16.69426985138229,0,46.3768115942029,42.85714285714286,63.33333333333334,16.115324761707967,19
Honduras,HND,0.03873249685300042,2022-03-01,281637,0.029344098646566653,0,0,2021-12-01,0,2.81637,0.029344098646566653,0,4.9,5.1,3.4,22.701466161147277,4.373850481487422,15.391810178839917,0,43.478260869565226,42.85714285714286,60,14.998994354002825,20
Uganda,UGA,0.045888772308283275,2022-09-01,50925,0.0068377732423868095,0,0,2021-03-01,0,0.50925,0.0068377732423868095,0,6.2,7.1,3.3,26.895823826869716,0.7908702896627468,3.58660557478335,0,62.31884057971015,74.60317460317461,56.666666666666664,14.607690133073769,21
Chad,TCD,0.0016866659109650664,2023-06-01,32483,0.002001112338280947,0,0,2021-09-01,0,0.32483,0.002001112338280947,0,7.8,7.9,4.4,0.9885701210601913,0.5044642045972509,1.0496400529569034,0,85.5072463768116,87.30158730158732,93.33333333333334,13.83984876875794,22
Mozambique,MOZ,0.02774428920689433,2022-04-01,23553,0.0016221399478460621,0,0,2021-11-01,0,0.23553,0.0016221399478460621,0,7.2,7.2,3.6,16.261178435921178,0.3657804208625758,0.8508583092458067,0,76.81159420289856,76.19047619047622,66.66666666666667,13.71484355416528,23
Niger,NER,0.004180133263808271,2023-06-01,143031,0.005523139351619715,0,0,2021-09-01,0,1.43031,0.005523139351619715,0,7.3,7.5,3.9,2.450013852646283,2.221285584698131,2.8970428949044638,0,78.26086956521739,80.95238095238096,76.66666666666667,13.595632884460022,24
Mali,MLI,0.0019063194580519324,2023-06-01,106817,0.004791420022194021,1671,7.4954949653016e-5,2021-09-01,0,1.23527,0.0048663749718470374,1671,6.9,6.9,4.3,1.117311048485896,1.9183865345345141,2.552551391265543,0.5189279836029937,72.46376811594203,71.42857142857144,90.00000000000001,13.160263082089221,25
